date,title,content
1920/02/25,"문선명(文鮮明) 참아버님 성탄(음1.6), 양력 2월 25일 자시(子時) 6남7녀중 차남",
1935/04/17,"참아버님, 부활절 아침 묘두산에서 하나님으로부터 천명",
1946/06/06,"참아버님, 하늘의 계시에 따라 북한 평양 도착",
1947/01/01,"참아버님, 평양에서 김원필(金元弼) 옥세현(玉世賢) 김인주(金仁珠) 차상순(車相淳) 정달옥(鄭達玉) 지승도(池承道)씨 등 전도",
1947/01/01,"참아버님, 여호와의 부인 박을용씨로부터 ‘실체 하나님’이라는 증거 받음",
1951/05/11,"참아버님, 괴정동 김원덕씨의 집에서 《원리원본》 집필 시작, 이후 1년간 집필 에 주력",
1952/05/10,"참아버님, 《원리원본》 집필 토담집에서 완료",
1953/12/24,"참아버님, 부산 영도 특별수련회, 유효원씨와 첫 만남",많은 식구들이 전도 됨으로써 재출발의 기반을 닦으심
1954/01/18,"참아버님, 영도 특별수련회 종료, 유효원 유효영 유효민 김명희씨 등 입교",
1954/05/01,세계기독교통일신령협회(世界基督敎統一神靈協會) 창립,"이창환(李昌煥) 유효원(劉孝元), 유효민(劉孝敏), 김상철(金相哲), 박정화(朴正華), 이요한(李耀翰), 이수경(李秀卿), 옥세현(玉世賢), 강현실(姜賢實)씨 등 참석"
1954/07/01,"참아버님, 교회장 3명 임명, 서울 유효원, 부산 이봉운, 대구 이요한",
1954/12/31,성화기독학생회(成和基督學生會) 창립,"조직; 황환채(黃煥寀), 전도; 유경규(柳景圭), 사업; 오승택(吳昇澤)"
1955/01/16,부인회 결성,
1955/03/27,"성화기독학생회, 성화청년회로 개칭, 1960년 협회기구 확립 때까지 협회행정 사무 대행","회장 안창성, 조직부장 황환채, 전도부장 유경규, 사업부장 오승택, 문화부장 유광렬"
1955/03/27,협회 기관지 ‘성화’ 창간,
1955/10/16,서울 유년주일학교 개교,
1955/10/23,성화학생회 중고등부 결성,
1956/03/01,"참어머님, 서울 청파동에서 참아버님과 첫 만남, 홍순애 대모님 동행, 참아버님 ‘한학자가 한국 땅에 태어났다!’ 세 번 반복하심",
1956/09/25,"영어판 원리 소개 책자 발행, 김영운 역",
1956/10/04,"《성가》 초판 발행, 500부",
1956/10/22,"성화장년회 결성, 회장 김정실",
1956/11/21,성화청년회 임원 개편,
